ESCUELA,ALUMNO,SEXO,PROMOCION_INGRESO,MODALIDAD,COLEGIO_PROCEDENCIA
ADMINISTRACIÓN,d7d23c29b021ddbcfe7ab3e4c94778d4de9888aff8c0b556471946709cc342e7,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,5d9e54e64e7314ccdfe661951a9369c1399ee134022d21aaba761b5dc81da1d0,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,f45a52a679c64460d54d1c50c79aaff895ef053f36486002e7a18f5c4fe931a1,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,db7a02ccb7e3579712d55cdeebb88a13870fe117cee852d3f38ecee7c33ad20d,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,e54b2812037ca20e1a0fa6af0f5dd876e3437af51192f357836b130d48936248,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,7ab37edeb283db2a7e60d499953cc39b8ab71918e105093ef71282f8561456c5,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,4782e23d8b9d41102ad319498753aaa10a43ffe2bb6896d7540b3c9be91c43ca,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,4e13bc52f00b08e9b3f86f4e207448b5aa3e41914c395b6927b5366a023f6265,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,41f1472dc7ac818f3eb3e47cc37b3730d5cdd3d0235791b22aeeecc87e7b6416,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,395171a9952b4ed952b8f0df1944ab5f70153d4f277a3af7b5ea9338d8a50956,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,eb947da9682345a0f787dfc2081d4fb06f49796359e7cdf6feeb44611df9715c,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,761d4397473dc4bcb4c17ff4dc87b515ca9c1307c2731e3aea3582a605f16881,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,9335e3e8db82f29b744d36fa80512c1d1d7832a5b84c5d6e92fa3177d75fb33e,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,9faf573591c12f8a5e39e6edc67189b463ba1a43157135ea94f6d9ff40860ee3,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,2c556c796f40db01016f007556b86c51ccda739cfa2af2eb1319d9058f860e96,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,655a9c6ecfe2e490af571dfe21bc65c6016add47c52b00a5a37c6ded9c6ac94e,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,441ffd337a0d192fd8ba8cec5e1fbcc8320b2c1855d9ee64fdb16e2f7edff9f8,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,b6b254fedb3b09ba2309986e13343abc8c60b18d767997418fe432d3b2323d3d,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,9b2d736e1395b48b2d29d7ba4cadec4c5fc0d4f265be260b1e1452c40ce889b5,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,19319007336104144f1af10e67a41d9098724b0464bdfcf138484a3c0fe18063,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,288a259c0967006a57fc5cf670a51e530bc98ed1d2b3df55f2fce0196b47908f,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,6f1c17e5a947f5b535969b387324409ecfc759463c0322e0f45017d39010e2c4,Femenino,2023B,Segunda Profesionalizacion,Esta Universidad
CONTABILIDAD,a0868349ff7f768912837ed3d5d1d7f2865a7d8c56d62f792b36393f8cd0ab57,Femenino,2023B,Examen General de Admision,Colegio Parroquial
CONTABILIDAD,55e17c0cd140ba0c1fdeb947632ac7b7bf1cb58c9bfe5ce965cb77791ecfd1e9,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,c894a5cb8022db96156a5d36f108649c2492ee8a3e46ea6e53b3d1414db938a2,Masculino,2023B,Traslado Externo Nacional,Universidad Particular
CONTABILIDAD,0cd539e8ec75fb9a50599a54a06bb90819b53a034023b1897f1fc47fcc9fa654,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,908c730d5f1d3e22f59a3f5c6ac92e17b9cf71719b93f725fc338f2ec330099d,Femenino,2023B,Victimas del Terrorismo,Colegio Nacional
CONTABILIDAD,aa4c528071ceafa5859860e9db1c281f46bccb55b975def6932451cbe1413bd3,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,e40dbcd832e3f0f4e376ee28409255876ee7c8d2d0f632813448ca7108f8e36a,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,85d9627a960bafa7c4657f71dad2b114bfcafb779837ecebdc37f45d22ab7495,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,826bd1d739aae1e3f096c1a23ff70fde63c6ee2e5afa474fb9e90cace1a131ff,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,9dffb29ed3d349e84fd86a9afd2b34ad10dcd8f08eb2ef28ce8f570c36344043,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,93fb7eeea9fe9871eeb59c0fee356301015b4aac227953834e3a4abfbf93f29c,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,17b73db9b44ea031122cc19b991dc2330fe68db89c79de165713f71b8ac87dbd,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,49a7454fc025138d5c5221cb2a0b6cf688076a455545a551c5e3b1a85cf34a4a,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,6a627ba5b13e5a2f92fd56392c54bc9bf7f31e965d18f535a1642585aba9c5ad,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,f3356caa5cf78271ae2cf877262fa9aead790fa876185058b7eb1d27fecf2f8f,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,5e142ff5ee2629db703dbdb74c3cbe3c614f45557633d6cc2364e0dc6f0594cd,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,4075c85fb6c98824b88ac8f8b27925945ad9b970520c1a8d8a146b744aa84b82,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,27096ee0e15e57c5d252002c135c76c0c3b7dd3998293c4b71de7175dfb00dff,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,0f0c5d5959fbb3a363ede5f0765266bebce52a0178d000d2f52b833e4f8cc61a,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,8d75bc4607a560982f920c297ce8a34d7c2c9502bf0eef04995ec0111d46553f,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,a2d027e263c4b5a61fcfaa0c57ffa977b834d6fe7e593a1f2e68e3e2650fdaf7,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,a56abc823a0946c01916889019cfc18ca2f80290f93feb98ba120ee9bd6c15d8,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,29caa618362c1d3f948fac3677fc699de10372e43c20beb6b08967232fc71f7e,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,d37968f59a1871181ed0ea75b4dea5292b9cb2b189ed0a6baf4749cb1ab94832,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,5f9d3ecf0b4b4a27d10c91398ab335c8720151f659d24b8a2ab61719b64e07c1,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,869061cdb4a464bf671c99939d1602ed2e7c916ef812fcff3adf0dba3b45f39c,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,ed9677627274b480480744e1496d05614c7b9f639969c30d6bf2e6d6f0c6487c,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,db5a8fdd5ec1daccb1f9b120dd05f6ffdfc6b0e966279800c6e16c95b9f0abc0,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,b7b97b428dfc1fc6b81214d4eb14d0393d4a64b202fc8ecb840b927d6b87bd41,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,9353dfe6d91a0623a6e6abe382979c8bd8ccd13d05b91e9c0d5e4e319bdacd76,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,dab5a0a452d376dccee2814d6ce82de85364a1061c0eef50ce098ea5da98f590,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,c36b37ecbd7e03d54e1640660419787a99b9e62105cfb7921d5349afa0240d12,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,0d5742019ecd859b4d5e707ee395c7e668abc81493556e956f1e354d2ba4b683,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,e5b49e06116fb77324194aca4633dfe82baf4a753c8c0c3121509a90cd47b14d,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,cdd40203014b1db99f2c7322d9edd8bd78a56ad346d19b8e52637342f90e3fbc,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,6f2275bbc5b501cc71fffb3ff794c22fd1f43cb5c9e8a9d492806224f3875199,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,77104c3a712254da4b8f047b4a02a94dd031a4896197987efc7e0059ff0b7efb,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,8827060d8993ff0a2fe1aada8ef58cc0f09143fc371d5753a085a9e8854edafb,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,d1479398b198759fa8bc98f4f9997e4f2f54d951992c45fe67386538a24be2c6,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,7ca4484478faa88ada05f848c293b956dbf242202457c9b1afc446fe1ce05e63,Masculino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
CONTABILIDAD,91541716645a1af6ecc455e2c899cc131c27aa2875e8657eaec70e9192dcf6a3,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,7832398c7f0075fb9ff50072f4192316999a50ac0dce09bbb5347b88fe97d7ce,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,9eb3b28baaae582c870342d329340f582cba5b5ed0bd3ec5dd142783eb66c175,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,323ef52e41cf90e97b90afb4101ecd59bc0e0da7cdf85b264ba71059651c84dd,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,cabfee61de37aae0c0c5c2830e693cabe863e93ee5503e8d0359826d8b442103,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,f5a74ebd9c136cf66d5c1a5b29ae6447977dbd0e91652a11464c14b183627bd8,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,8c697b3daa059701e67c9215743936f25def0671ac6223f63e86da8a7d9bec7f,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,b2570eeb98ffd9ac4d7ef60ca47087ce5d4ab87aec1e2aae447f50ac58f8a00f,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,4df91ac0299728e4df92108201a03657c3d655ee986492ce8bfef2f32d6eaee6,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,c0e7645210cf2776cc329c8cbb8a3178c572d5af29d6168ba55535622cd8e5cb,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,9929af71e130abcce4968f1f6b858eb8f3bed48343dedeec8206fffb5f997f3a,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,a0bb60b32381d4c81736ea117ccc0e6863079729345dd7295d7a13d38595dc8f,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,7a473a5617cf55b0b20822b9189ce85afc484ffaed93c5c58af718f48c1e403e,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,64c072d7b3afc1f90c4aaa91ac8d4848f9a306ba07f9790e71448c0dfb83c2be,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,47c90bced949810e31b30054a90852cdc1477ed09dc38880251837fca347b8f5,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,0f1be3ed2409c360d5eb04814fff4d97d182fed454db228b677e370021391b5d,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,b8ea84688e7f5da34745c328523a4826100e9a914624b28f63f21bba331a96ae,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,ff78f19bf246b43b000ee4b7e925306d1d3f53cf68d2a7e066605cf86e71ee19,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,ee056c18cb0cdc12a60e07437c5e0ac2c8a2f577147b7cb87d8a48f3eb9feabc,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,e61ad314980516ea154e97d6b444847dc3e6dd64e47ba297578d5b036701a717,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,a4baf80203e22699891004b4d273d208709c8c13a8a65da094f09b3b42ee0269,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,608d2dc229df5158e449e23c4e7e92a70bce7e3daa43097bf90a2e23250b107a,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,5a2f7d896fcf1b5f1a12c22cbbd64489db2960b965630c28a55489f079c3b344,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,ab1db759852c3db57dc4b1a20edaff9aa0aaa29f2ae87ae13b2cea775fa2d250,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,54090cf162b12ce79d541b9d9c29aaf7b810362ea710245a5df2ef69df3ee725,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,6233c8d4d1d020b9f47317489d24491d607834a33cc481b11dad51a0f2a16a49,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,782979a9f2fb22807883b8ee0f8660ba9ad119477571fab8689919693801af25,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,e0c6614d6bc90d66df6c006166b8a3842eafb2beae8cc6abe22b7c297305aff8,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,47b003196634c27c78bddcfdc16ebb3785272c8df52b1b15650cc2ed1fd61283,Masculino,2023B,Examen General de Admision,Colegio Parroquial
CONTABILIDAD,dfc4a31f99869417a7485c640dad15b595d6a1c74553f38295d90c22d60032b9,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,e9f3fb34b1b42534fbb3b4fc5bf235620ad101f60ca5a98f8c72833c24204ded,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,c3ab3903faedda594638dcb8d6cb595d623e5e5d8033d3c4ee2df5dcb58190c9,Masculino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,c150e61dba5ca12a25c6e291646f264ef050bfe95afc4e4db98eba28077977a7,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,8e3155d54ffb853faa41cef29ffec3ffea3cc441ff73e1701e0a3ef9cabe7c8e,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,85a57c76f414dd84d3fc871ee52bb6304b2ad9337c87f917767e5621d3703e4c,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,b5864dcf23a91d4aba333158fcbb2f976845311e67951240a9649b176b1a6efc,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,af864f50dd68bd3da735fc85a2cb2891a7ba963b07a6724f78446b685c5905a2,Femenino,2023B,Examen General de Admision,Colegio Particular
CONTABILIDAD,7f98a2c0a0fa1b88fa0c0fbd8eff071f0adf6c250ff6520dce96c5b411b4b528,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,388a405d91461ead31407d1abb5fae70f7f4a2c8df17c83e44fbe906c2b645a7,Masculino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,d409731aaa5117d860bcb55939c50bca79c68731f72d2a1686e16a5f2d504700,Femenino,2023B,Examen General de Admision,Colegio Nacional
CONTABILIDAD,d5ff740ec056dae9edc7cf2db4688b9906622b9c03b8254cba646d6bb6236733,Femenino,2023B,Examen General de Admision,Colegio Nacional
